raw,query_name,country,note
Rom,Roma,IT,papal curia
S. Pietro i Rom,Roma,IT,St Peter's - papal curia
Lateranet,Roma,IT,the Lateran - papal curia
"Rom, Santi Apostoli",Roma,IT,curia sublocation
"Rom, Santa Maria Maggiore",Roma,IT,curia sublocation
"Rom, S. Peter",Roma,IT,curia sublocation
"Rom, Sankt Peter",Roma,IT,curia sublocation
S. Maria Maggiore,Roma,IT,curia sublocation
Villeneuve,Villeneuve-lès-Avignon,FR,Avignon papacy
Pont-de-Sorgues,Sorgues,FR,Avignon papacy
Le Groseau,Malaucène,FR,papal summer residence near Avignon
Tusculum,Frascati,IT,medieval Tusculum - site near Frascati
Sjællands landsting,Ringsted,DK,landsting seat
Skånes landsting,Lund,SE,landsting seat - Danish territory in period
Fyns landsting,Odense,DK,landsting seat
Viborg landsting,Viborg,DK,landsting seat
Jyllands landsting,Viborg,DK,landsting seat
Åbo,Turku,FI,Swedish realm - Finland
Reval,Tallinn,EE,
Dorpat,Tartu,EE,
Danzig,Gdansk,PL,
Marienburg,Malbork,PL,
Elbing,Elblag,PL,
Brügge,Brugge,BE,
Haag,Den Haag,NL,
Citeaux,Cîteaux Abbey,FR,
Ålholm,Ålholm Slot,DK,castle on Lolland - not the Copenhagen railway station
Næsby,REVIEW,DK,ambiguous: several Næsby in DK; DigDag has 8 candidates - needs human call
Konstanz,Konstanz,DE,Council of Constance 1414-18 - not Constanta in Romania
Vienne,"Vienne, Isère",FR,"Council of Vienne 1311-12 - the city in Isere, not Vienna nor the departement"
Gurre,Gurre Slot,DK,royal castle in N Zealand where Valdemar Atterdag died 1375
